,First AdjEM,First AdjO,First AdjD,First AdjT,First Luck,Second AdjEM,Second AdjO,Second AdjD,Second AdjT,Second Luck,Location,Result
44,27.7,116.8,89.1,63.6,-0.012,3.08,105.7,102.7,63.8,0.114,1,1
45,27.7,116.8,89.1,63.6,-0.012,4.48,102.1,97.7,66.3,0.083,-1,1
46,27.7,116.8,89.1,63.6,-0.012,-6.83,90.9,97.7,65.0,-0.015,-1,1
47,27.7,116.8,89.1,63.6,-0.012,8.11,104.0,95.9,66.9,-0.037,1,1
48,27.7,116.8,89.1,63.6,-0.012,-0.27,103.6,103.9,66.5,-0.066,-1,1
49,27.7,116.8,89.1,63.6,-0.012,-6.83,90.9,97.7,65.0,-0.015,1,1
50,27.7,116.8,89.1,63.6,-0.012,-0.86,102.7,103.5,67.7,0.074,1,1
51,27.7,116.8,89.1,63.6,-0.012,6.27,106.6,100.3,67.4,0.054,-1,1
52,27.7,116.8,89.1,63.6,-0.012,7.79,108.8,101.0,68.0,-0.067,1,1
53,27.7,116.8,89.1,63.6,-0.012,7.24,104.6,97.3,67.6,-0.051,-1,1
54,27.7,116.8,89.1,63.6,-0.012,12.59,108.9,96.3,68.4,0.048,-1,0
55,27.7,116.8,89.1,63.6,-0.012,17.23,111.2,94.0,69.9,-0.028,1,0
56,27.7,116.8,89.1,63.6,-0.012,6.27,106.6,100.3,67.4,0.054,1,1
57,27.7,116.8,89.1,63.6,-0.012,8.11,104.0,95.9,66.9,-0.037,-1,1
58,27.7,116.8,89.1,63.6,-0.012,7.79,108.8,101.0,68.0,-0.067,-1,1
59,27.7,116.8,89.1,63.6,-0.012,12.59,108.9,96.3,68.4,0.048,1,1
60,27.7,116.8,89.1,63.6,-0.012,7.24,104.6,97.3,67.6,-0.051,1,1
61,27.7,116.8,89.1,63.6,-0.012,4.48,102.1,97.7,66.3,0.083,1,1
62,27.7,116.8,89.1,63.6,-0.012,17.23,111.2,94.0,69.9,-0.028,-1,0
63,27.7,116.8,89.1,63.6,-0.012,7.24,104.6,97.3,67.6,-0.051,0,1
64,27.7,116.8,89.1,63.6,-0.012,7.79,108.8,101.0,68.0,-0.067,0,1
65,27.7,116.8,89.1,63.6,-0.012,17.23,111.2,94.0,69.9,-0.028,0,1
66,27.7,116.8,89.1,63.6,-0.012,13.67,112.4,98.8,68.9,-0.035,0,1
67,27.7,116.8,89.1,63.6,-0.012,18.75,112.0,93.3,67.2,0.033,0,1
68,27.7,116.8,89.1,63.6,-0.012,25.96,118.6,92.6,72.2,0.048,0,1
69,27.7,116.8,89.1,63.6,-0.012,24.56,117.5,92.9,62.3,0.06,0,0
70,27.49,119.2,91.7,69.3,0.041,14.76,111.9,97.1,67.5,0.052,0,1
71,27.49,119.2,91.7,69.3,0.041,-3.39,99.6,103.0,63.1,-0.037,1,1
72,27.49,119.2,91.7,69.3,0.041,-6.77,104.1,110.9,68.2,0.099,1,1
73,27.49,119.2,91.7,69.3,0.041,12.98,105.8,92.8,59.3,0.001,0,1
74,27.49,119.2,91.7,69.3,0.041,14.46,109.1,94.6,63.1,-0.039,0,0
75,27.49,119.2,91.7,69.3,0.041,8.95,108.0,99.0,69.2,-0.006,0,1
76,27.49,119.2,91.7,69.3,0.041,13.07,110.3,97.2,73.6,-0.101,-1,1
77,27.49,119.2,91.7,69.3,0.041,0.17,100.7,100.5,66.6,0.039,1,1
78,27.49,119.2,91.7,69.3,0.041,3.01,104.1,101.1,65.6,-0.02,1,1
79,27.49,119.2,91.7,69.3,0.041,3.84,102.3,98.4,69.1,0.03,1,1
80,27.49,119.2,91.7,69.3,0.041,4.55,106.6,102.0,70.2,-0.035,1,1
81,27.49,119.2,91.7,69.3,0.041,4.84,105.9,101.1,64.8,-0.108,1,1
82,27.49,119.2,91.7,69.3,0.041,15.6,103.8,88.2,67.6,-0.074,-1,1
83,27.49,119.2,91.7,69.3,0.041,25.64,110.7,85.0,66.5,-0.031,-1,0
84,27.49,119.2,91.7,69.3,0.041,14.63,103.1,88.5,66.3,0.049,1,1
85,27.49,119.2,91.7,69.3,0.041,11.76,108.3,96.6,68.0,-0.001,1,1
86,27.49,119.2,91.7,69.3,0.041,16.48,111.0,94.6,65.1,-0.054,-1,1
87,27.49,119.2,91.7,69.3,0.041,12.6,109.6,97.0,66.6,-0.092,-1,1
88,27.49,119.2,91.7,69.3,0.041,25.64,110.7,85.0,66.5,-0.031,1,1
89,27.49,119.2,91.7,69.3,0.041,25.72,120.0,94.3,67.5,-0.043,1,0
90,27.49,119.2,91.7,69.3,0.041,14.63,103.1,88.5,66.3,0.049,-1,1
91,27.49,119.2,91.7,69.3,0.041,27.04,118.0,91.0,67.4,0.004,1,1
92,27.49,119.2,91.7,69.3,0.041,20.88,112.5,91.6,63.8,-0.043,-1,0
93,27.49,119.2,91.7,69.3,0.041,16.48,111.0,94.6,65.1,-0.054,1,1
94,27.49,119.2,91.7,69.3,0.041,15.6,103.8,88.2,67.6,-0.074,1,1
95,27.49,119.2,91.7,69.3,0.041,11.76,108.3,96.6,68.0,-0.001,-1,1
96,27.49,119.2,91.7,69.3,0.041,12.6,109.6,97.0,66.6,-0.092,1,1
97,27.49,119.2,91.7,69.3,0.041,27.04,118.0,91.0,67.4,0.004,-1,0
98,27.49,119.2,91.7,69.3,0.041,17.02,108.7,91.7,65.9,0.014,-1,0
99,27.49,119.2,91.7,69.3,0.041,17.02,108.7,91.7,65.9,0.014,1,1
100,27.49,119.2,91.7,69.3,0.041,20.88,112.5,91.6,63.8,-0.043,1,1
101,27.49,119.2,91.7,69.3,0.041,11.76,108.3,96.6,68.0,-0.001,1,1
102,27.49,119.2,91.7,69.3,0.041,17.02,108.7,91.7,65.9,0.014,1,1
103,27.49,119.2,91.7,69.3,0.041,25.64,110.7,85.0,66.5,-0.031,1,1
104,27.49,119.2,91.7,69.3,0.041,-1.28,97.6,98.9,68.2,0.022,0,1
105,27.49,119.2,91.7,69.3,0.041,13.78,105.9,92.2,67.2,0.086,0,1
106,27.49,119.2,91.7,69.3,0.041,15.89,111.5,95.6,65.2,0.164,0,1
107,27.49,119.2,91.7,69.3,0.041,14.8,113.9,99.1,67.7,0.088,0,1
108,27.49,119.2,91.7,69.3,0.041,24.56,117.5,92.9,62.3,0.06,0,1
109,27.49,119.2,91.7,69.3,0.041,20.13,114.4,94.3,70.2,0.072,0,1
110,27.04,118.0,91.0,67.4,0.004,-21.92,94.8,116.7,64.6,-0.008,1,1
111,27.04,118.0,91.0,67.4,0.004,-2.79,100.8,103.6,69.8,0.021,1,1
112,27.04,118.0,91.0,67.4,0.004,-14.14,98.7,112.9,71.9,0.098,1,1
113,27.04,118.0,91.0,67.4,0.004,6.09,105.2,99.1,65.8,0.075,1,1
114,27.04,118.0,91.0,67.4,0.004,7.94,101.2,93.2,67.3,0.005,0,1
115,27.04,118.0,91.0,67.4,0.004,12.31,101.1,88.8,68.6,0.059,0,1
116,27.04,118.0,91.0,67.4,0.004,14.76,111.9,97.1,67.5,0.052,0,1
117,27.04,118.0,91.0,67.4,0.004,-21.52,97.8,119.3,67.1,0.009,1,1
118,27.04,118.0,91.0,67.4,0.004,24.56,117.5,92.9,62.3,0.06,1,1
119,27.04,118.0,91.0,67.4,0.004,10.33,110.0,99.6,67.9,0.014,-1,1
120,27.04,118.0,91.0,67.4,0.004,-8.09,97.3,105.4,67.8,0.128,1,1
121,27.04,118.0,91.0,67.4,0.004,-15.42,98.4,113.8,71.2,-0.06,1,1
122,27.04,118.0,91.0,67.4,0.004,14.63,103.1,88.5,66.3,0.049,-1,1
123,27.04,118.0,91.0,67.4,0.004,16.48,111.0,94.6,65.1,-0.054,1,1
124,27.04,118.0,91.0,67.4,0.004,17.02,108.7,91.7,65.9,0.014,-1,1
125,27.04,118.0,91.0,67.4,0.004,25.64,110.7,85.0,66.5,-0.031,1,0
126,27.04,118.0,91.0,67.4,0.004,15.6,103.8,88.2,67.6,-0.074,1,0
127,27.04,118.0,91.0,67.4,0.004,11.76,108.3,96.6,68.0,-0.001,-1,1
128,27.04,118.0,91.0,67.4,0.004,16.48,111.0,94.6,65.1,-0.054,-1,1
129,27.04,118.0,91.0,67.4,0.004,12.6,109.6,97.0,66.6,-0.092,1,1
130,27.04,118.0,91.0,67.4,0.004,16.57,115.2,98.6,71.9,-0.022,-1,0
131,27.04,118.0,91.0,67.4,0.004,11.76,108.3,96.6,68.0,-0.001,1,1
132,27.04,118.0,91.0,67.4,0.004,27.49,119.2,91.7,69.3,0.041,-1,0
133,27.04,118.0,91.0,67.4,0.004,12.6,109.6,97.0,66.6,-0.092,-1,1
134,27.04,118.0,91.0,67.4,0.004,20.88,112.5,91.6,63.8,-0.043,1,1
135,27.04,118.0,91.0,67.4,0.004,25.64,110.7,85.0,66.5,-0.031,-1,0
136,27.04,118.0,91.0,67.4,0.004,17.02,108.7,91.7,65.9,0.014,1,1
137,27.04,118.0,91.0,67.4,0.004,15.6,103.8,88.2,67.6,-0.074,-1,1
138,27.04,118.0,91.0,67.4,0.004,27.49,119.2,91.7,69.3,0.041,1,1
139,27.04,118.0,91.0,67.4,0.004,20.88,112.5,91.6,63.8,-0.043,-1,1
140,27.04,118.0,91.0,67.4,0.004,14.63,103.1,88.5,66.3,0.049,1,1
141,27.04,118.0,91.0,67.4,0.004,16.48,111.0,94.6,65.1,-0.054,0,0
142,27.04,118.0,91.0,67.4,0.004,-0.49,102.1,102.6,66.8,0.128,0,1
143,27.04,118.0,91.0,67.4,0.004,20.13,114.4,94.3,70.2,0.072,0,0
144,25.96,118.6,92.6,72.2,0.048,-16.91,95.5,112.4,65.1,0.007,1,1
145,25.96,118.6,92.6,72.2,0.048,-11.8,99.9,111.7,71.8,-0.071,1,1
146,25.96,118.6,92.6,72.2,0.048,1.54,102.9,101.4,66.4,0.101,1,1
147,25.96,118.6,92.6,72.2,0.048,8.11,104.0,95.9,66.9,-0.037,0,1
148,25.96,118.6,92.6,72.2,0.048,16.61,113.9,97.2,66.7,-0.019,0,1
149,25.96,118.6,92.6,72.2,0.048,-13.72,95.1,108.8,64.3,0.008,1,1
150,25.96,118.6,92.6,72.2,0.048,-5.36,105.4,110.8,66.6,-0.108,-1,1
151,25.96,118.6,92.6,72.2,0.048,11.94,109.1,97.2,66.1,0.056,1,1
152,25.96,118.6,92.6,72.2,0.048,18.75,112.0,93.3,67.2,0.033,-1,1
153,25.96,118.6,92.6,72.2,0.048,-3.82,107.7,111.5,69.6,0.1,1,1
154,25.96,118.6,92.6,72.2,0.048,-4.41,98.8,103.2,67.4,-0.008,1,1
155,25.96,118.6,92.6,72.2,0.048,25.1,111.5,86.4,67.4,0.029,-1,0
156,25.96,118.6,92.6,72.2,0.048,5.17,104.1,98.9,69.5,0.078,1,1
157,25.96,118.6,92.6,72.2,0.048,10.64,106.5,95.9,67.4,0.041,1,1
158,25.96,118.6,92.6,72.2,0.048,3.86,107.3,103.5,66.2,-0.121,1,1
159,25.96,118.6,92.6,72.2,0.048,6.09,105.2,99.1,65.8,0.075,-1,1
160,25.96,118.6,92.6,72.2,0.048,2.38,100.5,98.2,64.1,-0.048,-1,1
161,25.96,118.6,92.6,72.2,0.048,24.26,115.9,91.7,65.2,-0.029,-1,0
162,25.96,118.6,92.6,72.2,0.048,7.94,101.2,93.2,67.3,0.005,1,1
163,25.96,118.6,92.6,72.2,0.048,24.26,115.9,91.7,65.2,-0.029,1,1
164,25.96,118.6,92.6,72.2,0.048,14.14,109.8,95.6,66.2,0.06,1,1
165,25.96,118.6,92.6,72.2,0.048,7.94,101.2,93.2,67.3,0.005,-1,1
166,25.96,118.6,92.6,72.2,0.048,14.46,107.7,93.3,66.3,-0.084,-1,1
167,25.96,118.6,92.6,72.2,0.048,5.17,104.1,98.9,69.5,0.078,-1,1
168,25.96,118.6,92.6,72.2,0.048,-5.36,105.4,110.8,66.6,-0.108,1,1
169,25.96,118.6,92.6,72.2,0.048,10.33,110.0,99.6,67.9,0.014,1,1
170,25.96,118.6,92.6,72.2,0.048,3.86,107.3,103.5,66.2,-0.121,-1,1
171,25.96,118.6,92.6,72.2,0.048,10.64,106.5,95.9,67.4,0.041,-1,0
172,25.96,118.6,92.6,72.2,0.048,14.14,109.8,95.6,66.2,0.06,-1,1
173,25.96,118.6,92.6,72.2,0.048,6.09,105.2,99.1,65.8,0.075,1,1
174,25.96,118.6,92.6,72.2,0.048,2.38,100.5,98.2,64.1,-0.048,1,1
175,25.96,118.6,92.6,72.2,0.048,6.09,105.2,99.1,65.8,0.075,0,1
176,25.96,118.6,92.6,72.2,0.048,10.64,106.5,95.9,67.4,0.041,0,1
177,25.96,118.6,92.6,72.2,0.048,24.26,115.9,91.7,65.2,-0.029,0,1
178,25.96,118.6,92.6,72.2,0.048,-0.28,106.3,106.6,68.9,0.003,0,1
179,25.96,118.6,92.6,72.2,0.048,17.02,108.7,91.7,65.9,0.014,0,1
180,25.96,118.6,92.6,72.2,0.048,27.7,116.8,89.1,63.6,-0.012,0,0
181,25.72,120.0,94.3,67.5,-0.043,25.15,121.1,95.9,67.3,-0.01,0,0
182,25.72,120.0,94.3,67.5,-0.043,-15.16,98.4,113.6,66.7,-0.067,1,1
183,25.72,120.0,94.3,67.5,-0.043,-6.56,96.1,102.6,63.3,-0.036,1,1
184,25.72,120.0,94.3,67.5,-0.043,3.12,104.2,101.1,67.6,0.034,1,1
185,25.72,120.0,94.3,67.5,-0.043,-10.47,92.2,102.7,65.2,0.042,1,1
186,25.72,120.0,94.3,67.5,-0.043,-8.63,97.2,105.8,67.7,0.003,1,1
187,25.72,120.0,94.3,67.5,-0.043,-13.77,96.2,110.0,67.5,-0.001,1,1
188,25.72,120.0,94.3,67.5,-0.043,-3.63,96.7,100.3,69.9,-0.032,1,1
189,25.72,120.0,94.3,67.5,-0.043,15.25,112.4,97.2,65.6,0.017,-1,0
190,25.72,120.0,94.3,67.5,-0.043,20.13,114.4,94.3,70.2,0.072,0,1
191,25.72,120.0,94.3,67.5,-0.043,4.9,106.6,101.7,68.6,-0.033,1,1
192,25.72,120.0,94.3,67.5,-0.043,3.01,104.1,101.1,65.6,-0.02,1,1
193,25.72,120.0,94.3,67.5,-0.043,-6.16,98.4,104.5,66.5,-0.025,1,1
194,25.72,120.0,94.3,67.5,-0.043,18.65,107.3,88.7,68.6,-0.052,-1,0
195,25.72,120.0,94.3,67.5,-0.043,-3.99,106.7,110.6,68.6,-0.024,1,1
196,25.72,120.0,94.3,67.5,-0.043,12.27,107.2,94.9,67.8,-0.053,-1,1
197,25.72,120.0,94.3,67.5,-0.043,25.1,111.5,86.4,67.4,0.029,1,1
198,25.72,120.0,94.3,67.5,-0.043,15.69,109.1,93.4,66.7,-0.01,-1,1
199,25.72,120.0,94.3,67.5,-0.043,23.2,112.7,89.5,70.1,-0.021,-1,0
200,25.72,120.0,94.3,67.5,-0.043,13.86,109.7,95.8,65.6,-0.087,1,1
201,25.72,120.0,94.3,67.5,-0.043,27.49,119.2,91.7,69.3,0.041,-1,1
202,25.72,120.0,94.3,67.5,-0.043,12.27,107.2,94.9,67.8,-0.053,1,1
203,25.72,120.0,94.3,67.5,-0.043,16.57,115.2,98.6,71.9,-0.022,-1,1
204,25.72,120.0,94.3,67.5,-0.043,7.53,101.5,93.9,70.5,0.105,-1,1
205,25.72,120.0,94.3,67.5,-0.043,12.67,110.2,97.6,65.4,-0.018,1,1
206,25.72,120.0,94.3,67.5,-0.043,25.1,111.5,86.4,67.4,0.029,-1,0
207,25.72,120.0,94.3,67.5,-0.043,16.57,115.2,98.6,71.9,-0.022,1,1
208,25.72,120.0,94.3,67.5,-0.043,18.65,107.3,88.7,68.6,-0.052,1,1
209,25.72,120.0,94.3,67.5,-0.043,19.46,109.9,90.4,70.7,0.038,-1,0
210,25.72,120.0,94.3,67.5,-0.043,6.02,105.7,99.7,65.2,-0.07,1,1
211,25.72,120.0,94.3,67.5,-0.043,12.67,110.2,97.6,65.4,-0.018,-1,1
212,25.72,120.0,94.3,67.5,-0.043,12.27,107.2,94.9,67.8,-0.053,0,1
213,25.72,120.0,94.3,67.5,-0.043,25.1,111.5,86.4,67.4,0.029,0,0
214,25.72,120.0,94.3,67.5,-0.043,7.24,100.3,93.0,65.9,0.018,0,0
215,25.64,110.7,85.0,66.5,-0.031,-8.63,97.2,105.8,67.7,0.003,1,1
216,25.64,110.7,85.0,66.5,-0.031,-12.31,93.7,106.0,69.3,0.034,1,1
217,25.64,110.7,85.0,66.5,-0.031,-9.94,97.1,107.0,70.3,-0.034,1,1
218,25.64,110.7,85.0,66.5,-0.031,-21.92,94.8,116.7,64.6,-0.008,0,1
219,25.64,110.7,85.0,66.5,-0.031,-18.66,97.8,116.4,69.9,-0.055,1,1
220,25.64,110.7,85.0,66.5,-0.031,-20.15,92.0,112.2,66.1,-0.065,1,1
221,25.64,110.7,85.0,66.5,-0.031,15.89,111.5,95.6,65.2,0.164,-1,0
222,25.64,110.7,85.0,66.5,-0.031,25.1,111.5,86.4,67.4,0.029,0,1
223,25.64,110.7,85.0,66.5,-0.031,-1.12,99.9,101.0,68.3,0.065,1,1
224,25.64,110.7,85.0,66.5,-0.031,30.95,120.7,89.7,72.5,-0.039,0,0
225,25.64,110.7,85.0,66.5,-0.031,-3.86,104.1,107.9,69.7,-0.0,1,1
226,25.64,110.7,85.0,66.5,-0.031,-13.19,97.1,110.3,69.4,-0.002,1,1
227,25.64,110.7,85.0,66.5,-0.031,14.63,103.1,88.5,66.3,0.049,-1,0
228,25.64,110.7,85.0,66.5,-0.031,27.49,119.2,91.7,69.3,0.041,1,1
229,25.64,110.7,85.0,66.5,-0.031,27.04,118.0,91.0,67.4,0.004,-1,1
230,25.64,110.7,85.0,66.5,-0.031,15.6,103.8,88.2,67.6,-0.074,1,1
231,25.64,110.7,85.0,66.5,-0.031,12.6,109.6,97.0,66.6,-0.092,-1,0
232,25.64,110.7,85.0,66.5,-0.031,14.63,103.1,88.5,66.3,0.049,1,1
233,25.64,110.7,85.0,66.5,-0.031,11.76,108.3,96.6,68.0,-0.001,1,1
234,25.64,110.7,85.0,66.5,-0.031,27.49,119.2,91.7,69.3,0.041,-1,0
235,25.64,110.7,85.0,66.5,-0.031,13.86,109.7,95.8,65.6,-0.087,1,1
236,25.64,110.7,85.0,66.5,-0.031,20.88,112.5,91.6,63.8,-0.043,1,1
237,25.64,110.7,85.0,66.5,-0.031,11.76,108.3,96.6,68.0,-0.001,-1,1
238,25.64,110.7,85.0,66.5,-0.031,16.48,111.0,94.6,65.1,-0.054,-1,0
239,25.64,110.7,85.0,66.5,-0.031,17.02,108.7,91.7,65.9,0.014,1,1
240,25.64,110.7,85.0,66.5,-0.031,27.04,118.0,91.0,67.4,0.004,1,1
241,25.64,110.7,85.0,66.5,-0.031,20.88,112.5,91.6,63.8,-0.043,-1,1
242,25.64,110.7,85.0,66.5,-0.031,16.48,111.0,94.6,65.1,-0.054,1,1
243,25.64,110.7,85.0,66.5,-0.031,17.02,108.7,91.7,65.9,0.014,-1,0
244,25.64,110.7,85.0,66.5,-0.031,12.6,109.6,97.0,66.6,-0.092,1,1
245,25.64,110.7,85.0,66.5,-0.031,15.6,103.8,88.2,67.6,-0.074,-1,0
246,25.64,110.7,85.0,66.5,-0.031,14.63,103.1,88.5,66.3,0.049,0,1
247,25.64,110.7,85.0,66.5,-0.031,16.48,111.0,94.6,65.1,-0.054,0,1
248,25.64,110.7,85.0,66.5,-0.031,27.49,119.2,91.7,69.3,0.041,-1,0
249,25.64,110.7,85.0,66.5,-0.031,2.94,104.3,101.4,67.5,0.085,0,1
250,25.64,110.7,85.0,66.5,-0.031,15.25,112.4,97.2,65.6,0.017,0,1
251,25.64,110.7,85.0,66.5,-0.031,25.15,121.1,95.9,67.3,-0.01,0,0
252,25.15,121.1,95.9,67.3,-0.01,25.72,120.0,94.3,67.5,-0.043,0,1
253,25.15,121.1,95.9,67.3,-0.01,-11.12,96.5,107.6,68.8,0.025,1,1
254,25.15,121.1,95.9,67.3,-0.01,-3.46,100.7,104.2,62.4,-0.046,1,1
255,25.15,121.1,95.9,67.3,-0.01,0.22,96.6,96.4,67.4,-0.029,1,1
256,25.15,121.1,95.9,67.3,-0.01,-14.41,97.1,111.5,64.8,-0.041,1,1
257,25.15,121.1,95.9,67.3,-0.01,-6.04,101.2,107.2,70.5,0.011,1,1
258,25.15,121.1,95.9,67.3,-0.01,30.95,120.7,89.7,72.5,-0.039,0,1
259,25.15,121.1,95.9,67.3,-0.01,16.24,115.5,99.3,65.0,-0.017,-1,0
260,25.15,121.1,95.9,67.3,-0.01,-12.56,93.3,105.8,70.0,0.074,1,1
261,25.15,121.1,95.9,67.3,-0.01,0.26,101.0,100.8,64.5,0.015,1,1
262,25.15,121.1,95.9,67.3,-0.01,-6.58,99.9,106.5,65.8,-0.055,1,1
263,25.15,121.1,95.9,67.3,-0.01,18.86,115.0,96.1,63.3,-0.062,1,1
264,25.15,121.1,95.9,67.3,-0.01,1.2,100.4,99.2,68.0,-0.021,1,1
265,25.15,121.1,95.9,67.3,-0.01,14.8,113.9,99.1,67.7,0.088,1,0
266,25.15,121.1,95.9,67.3,-0.01,15.56,110.7,95.1,70.6,-0.001,-1,1
267,25.15,121.1,95.9,67.3,-0.01,3.55,109.6,106.0,66.9,-0.076,1,1
268,25.15,121.1,95.9,67.3,-0.01,6.2,105.3,99.1,67.8,0.075,-1,0
269,25.15,121.1,95.9,67.3,-0.01,11.45,115.4,104.0,67.6,-0.065,1,1
270,25.15,121.1,95.9,67.3,-0.01,11.36,110.1,98.8,66.3,-0.083,1,1
271,25.15,121.1,95.9,67.3,-0.01,3.59,103.0,99.4,67.0,0.001,-1,1
272,25.15,121.1,95.9,67.3,-0.01,15.25,112.4,97.2,65.6,0.017,-1,1
273,25.15,121.1,95.9,67.3,-0.01,20.13,114.4,94.3,70.2,0.072,-1,1
274,25.15,121.1,95.9,67.3,-0.01,11.23,107.6,96.4,59.5,0.025,1,0
275,25.15,121.1,95.9,67.3,-0.01,11.36,110.1,98.8,66.3,-0.083,-1,1
276,25.15,121.1,95.9,67.3,-0.01,4.55,104.5,100.0,64.9,-0.08,-1,1
277,25.15,121.1,95.9,67.3,-0.01,15.56,110.7,95.1,70.6,-0.001,1,1
278,25.15,121.1,95.9,67.3,-0.01,6.2,105.3,99.1,67.8,0.075,1,1
279,25.15,121.1,95.9,67.3,-0.01,11.23,107.6,96.4,59.5,0.025,-1,1
280,25.15,121.1,95.9,67.3,-0.01,11.45,115.4,104.0,67.6,-0.065,-1,1
281,25.15,121.1,95.9,67.3,-0.01,-1.76,99.7,101.5,64.0,0.05,-1,1
282,25.15,121.1,95.9,67.3,-0.01,20.13,114.4,94.3,70.2,0.072,1,0
283,25.15,121.1,95.9,67.3,-0.01,11.45,115.4,104.0,67.6,-0.065,0,1
284,25.15,121.1,95.9,67.3,-0.01,14.8,113.9,99.1,67.7,0.088,0,1
285,25.15,121.1,95.9,67.3,-0.01,18.86,115.0,96.1,63.3,-0.062,0,0
286,25.15,121.1,95.9,67.3,-0.01,1.47,104.1,102.7,66.1,0.047,0,1
287,25.15,121.1,95.9,67.3,-0.01,14.76,111.9,97.1,67.5,0.052,0,1
288,25.15,121.1,95.9,67.3,-0.01,25.64,110.7,85.0,66.5,-0.031,0,1
289,25.15,121.1,95.9,67.3,-0.01,19.46,109.9,90.4,70.7,0.038,0,1
